UNM_BANNER_ID,HED_HIGH_SCHOOL_CODE,INSTITUTION_NAME,STREET_LINE1,STREET_LINE2,STREET_LINE3,CITY,STATE_PROVINCE
100151265,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100044001,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101655762,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101655768,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101759072,320004,ECADEMY ALTERNATIVE SCHOOL,5300 CUTLER AVE NE,,,ALBUQUERQUE,NM
100726245,320004,ECADEMY ALTERNATIVE SCHOOL,5300 CUTLER AVE NE,,,ALBUQUERQUE,NM
101730141,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101739317,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101738743,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101747662,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101723745,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101699080,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101724288,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101702729,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101723794,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101685569,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101689691,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101689644,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
